;Branch;Tenure;Salary;Department;JobSatisfaction;WorkLifeBalance;CommuteDistance;MaritalStatus;Education;PerformanceRating;TrainingHours;OverTime;NumProjects;YearsSincePromotion;EnvironmentSatisfaction;ChurnLikelihood
423;Miami;5,0000;55000;Procurement;5;4;Short;Married;High School;4;63,0000;Yes;3;0;2;Highly Likely to Churn'
424;Denver;10,0000;72000;Sales;2;4;Long;Married;High School;3;32,0000;Yes;3;0;2;Highly Likely to Churn'
425;New York;8,0000;73000;Product Management;5;4;Short;Divorced;Bachelor;4;12,0000;Yes;4;1;2;Highly Likely to Churn'
426;Atlanta;7,6121;65500;Public Relations;3;4;Medium;Married;Bachelor;4;18,0000;Yes;3,5;0;3;Highly Likely to Churn'
427;Atlanta;5,0000;55000;Marketing;2;4;Medium;Married;High School;4;34,6456;Yes;3;0;2;Highly Likely to Churn'
428;Scranton;16,0000;73500;Accounting;3;3;Short;Divorced;Bachelor;3;36,0000;Yes;2;5;2;Highly Likely to Churn'
429;Miami;3,0000;49500;Customer Service;3;3;Long;Married;High School;4;56,3762;Yes;3;0;3;Highly Likely to Churn'
430;Chicago;7,0000;62000;Research and Development;4;4;Medium;Married;High School;3;34,6456;Yes;3;0;3;Moderately Likely to Churn
431;Los Angeles;4,0000;73000;Customer Service;2;2;Medium;Single;Bachelor;2;24,0000;Yes;3;0;2;Highly Likely to Churn'
432;San Francisco;4,0000;73000;Sales;4;4;Medium;Married;High School;3;63,0000;Yes;2;0;2;Highly Likely to Churn'
433;New York;6,0000;69500;Human Resources;3;5;Short;Married;Bachelor;4;18,4004;Yes;2;0;1;Highly Likely to Churn'
434;Chicago;6,0000;66000;Research and Development;3;4;Long;Single;Bachelor;3;12,0000;Yes;3;0;2;Highly Likely to Churn'
435;Atlanta;15,0000;83500;Research and Development;2;4;Long;Married;Bachelor;4;30,0000;Yes;4;2;4;Highly Likely to Churn'
436;Philadelphia;14,0000;86500;Sales;3;4;Short;Divorced;High School;3;63,0000;Yes;4;2;3;Moderately Likely to Churn
437;Atlanta;6,0000;61000;IT Support;5;4;Short;Single;Bachelor;5;23,6612;Yes;3;0;3;Highly Likely to Churn'
438;Miami;7,0000;66500;Marketing;5;4;Long;Married;Master;4;30,0000;Yes;3;0;1;Highly Likely to Churn'
439;Scranton;8,0000;61500;Customer Service;4;3;Medium;Single;Bachelor;3;30,4219;Yes;5;2;3;Moderately Likely to Churn
440;Seattle;3,0000;52000;Accounting;2;4;Medium;Single;High School;3;63,0000;Yes;3;0;2;Highly Likely to Churn'
441;Atlanta;6,0000;71000;Sales;4;4;Short;Married;High School;3;63,0000;Yes;3;0;3;Highly Likely to Churn'
442;Scranton;9,0000;54500;Research and Development;4;4;Long;Married;High School;4;63,0000;Yes;4;2;3;Moderately Likely to Churn
443;San Francisco;5,0000;68500;Customer Service;3;5;Medium;Married;Bachelor;5;18,0000;Yes;3;0;3;Moderately Likely to Churn
444;Seattle;4,0000;73500;Public Relations;1;4;Long;Married;Master;3;36,0000;Yes;4;0;3;Moderately Likely to Churn
445;Denver;10,0000;83000;Sales;3;4;Long;Married;Master;4;24,0000;Yes;4;4;3;Highly Likely to Churn'
446;Chicago;4,0000;69000;Marketing;4;4;Medium;Married;High School;4;63,0000;Yes;4;0;2;Highly Likely to Churn'
447;Chicago;5,0000;70500;Marketing;4;4;Medium;Divorced;Bachelor;4;36,0000;Yes;3,5;0;1;Highly Likely to Churn'
448;New York;15,0000;75000;Marketing;1;4;Long;Single;Bachelor;3;30,0000;Yes;3;5;2;Highly Likely to Churn'
449;Seattle;8,0000;71000;Sales;4;5;Long;Married;High School;4;56,0000;Yes;3;2;3;Moderately Likely to Churn
450;Chicago;3,0000;55000;IT Support;5;5;Medium;Married;High School;3;63,0000;Yes;5;0;4;Moderately Likely to Churn
451;Boston;5,0000;52500;Quality Assurance;3;4;Long;Married;High School;4;48,0000;Yes;4;0;2;Highly Likely to Churn'
452;Chicago;7,0000;66000;Product Management;4;4;Long;Married;Bachelor;4;12,0000;Yes;3;0;2;Highly Likely to Churn'
453;Philadelphia;17,0000;77500;Marketing;5;4;Medium;Married;Bachelor;3;30,0000;Yes;3;2;2;Highly Likely to Churn'
454;New York;4,0000;55500;Operations;3;4;Medium;Divorced;Bachelor;3;30,0000;Yes;3;0;2;Highly Likely to Churn'
455;Philadelphia;16,0000;85000;Marketing;2;4;Short;Married;Bachelor;3;36,0000;Yes;3;5;1;Highly Likely to Churn'
456;Boston;6,0000;66500;Administration;2;4;Short;Married;Master;4;30,0000;Yes;2;0;2;Highly Likely to Churn'
457;San Francisco;13,0000;84000;Accounting;1;3;Long;Divorced;High School;3;63,0000;Yes;3;0;2;Highly Likely to Churn'
458;Denver;9,0000;69500;Sales;3;4;Long;Divorced;Master;4;30,0000;Yes;3,5;2;2;Highly Likely to Churn'
459;Chicago;5,0000;47000;Facilities Management;2;4;Long;Married;High School;3;63,0000;Yes;3;0;3;Moderately Likely to Churn
460;New York;1,0000;65000;Marketing;4;4;Long;Divorced;Bachelor;4;35,9577;Yes;2;0;2;Highly Likely to Churn'
461;Denver;12,0000;74000;Sales;5;4;Medium;Single;High School;3;40,0000;Yes;3;3;2;Highly Likely to Churn'
462;New York;10,0000;71500;Product Management;3;4;Long;Married;Bachelor;4;18,0000;Yes;4;4;3;Moderately Likely to Churn
463;Seattle;3,0000;66000;Sales;5;4;Short;Married;Bachelor;4;6,0000;Yes;4;0;3;Moderately Likely to Churn
464;Los Angeles;16,0000;77000;Operations;4;4;Long;Married;Bachelor;4;30,0000;Yes;4;1;3;Moderately Likely to Churn
465;Denver;11,0000;71000;Customer Service;2;4;Long;Married;Bachelor;3;30,0000;Yes;3;4;1;Highly Likely to Churn'
466;Los Angeles;10,0000;70000;Sales;3;4;Medium;Married;Bachelor;4;6,0000;Yes;4;0;2;Highly Likely to Churn'
467;Seattle;9,0000;66000;Human Resources;3;4;Medium;Married;Bachelor;4;24,0000;Yes;5;2;4;Moderately Likely to Churn
468;Scranton;9,0000;65500;Sales;5;3;Long;Married;Master;3;18,0000;Yes;4;1;3;Moderately Likely to Churn
469;Philadelphia;3,0000;63500;Research and Development;4;4;Medium;Married;Bachelor;3;36,0000;Yes;2;0;1;Highly Likely to Churn'
470;San Francisco;5,0000;67500;Operations;3;4;Medium;Divorced;High School;3;34,6456;Yes;4;0;2;Highly Likely to Churn'
471;Philadelphia;9,0000;75500;Customer Service;4;4;Short;Divorced;Bachelor;4;30,0000;Yes;3,5;0;4;Moderately Likely to Churn
472;Philadelphia;8,0000;64000;Marketing;3;5;Short;Single;High School;3;63,0000;Yes;4;1;2;Moderately Likely to Churn
473;Scranton;4,0000;58500;Human Resources;4;4;Short;Divorced;Bachelor;4;34,6456;Yes;4;0;2;Highly Likely to Churn'
474;San Francisco;6,0000;80500;Accounting;2;4;Medium;Single;Master;3;30,0000;Yes;4;0;2;Highly Likely to Churn'
475;Scranton;7,0000;63000;Product Management;4;4;Short;Divorced;Bachelor;3;12,0000;Yes;3;1;3;Moderately Likely to Churn
476;Philadelphia;13,0000;73000;Sales;2;4;Medium;Married;Bachelor;3;30,0000;Yes;3;5;2;Highly Likely to Churn'
477;Denver;7,0000;64500;Operations;5;5;Medium;Married;Master;5;18,1039;Yes;2;0;1;Highly Likely to Churn'
478;New York;7,0000;84500;Sales;4;4;Long;Married;Bachelor;4;18,1724;Yes;4;0;2;Highly Likely to Churn'
479;Miami;9,0000;66500;Marketing;3;4;Long;Married;Bachelor;3;30,0000;Yes;3;1;2;Highly Likely to Churn'
480;Seattle;4,0000;66500;Marketing;3;4;Long;Single;Bachelor;3;18,0000;Yes;3;0;2;Highly Likely to Churn'
481;Chicago;12,0000;62000;Administration;3;4;Short;Divorced;High School;3;56,0000;Yes;4;5;3;Moderately Likely to Churn
482;Philadelphia;6,0000;59000;Sales;5;4;Short;Married;High School;4;63,0000;Yes;3,5;0;3;Moderately Likely to Churn
483;San Francisco;8,0000;60500;Facilities Management;4;4;Short;Married;High School;3;56,0000;Yes;3;0;3;Moderately Likely to Churn
484;Los Angeles;6,0000;67000;Administration;4;4;Long;Single;Bachelor;4;12,0000;Yes;3;0;2;Highly Likely to Churn'
485;Seattle;2,0000;61000;Human Resources;2;4;Medium;Single;Bachelor;4;34,6456;Yes;2;0;1;Highly Likely to Churn'
486;Scranton;9,0000;65000;Sales;3;4;Short;Married;High School;4;63,0000;Yes;4;0;4;Moderately Likely to Churn
487;Miami;5,0000;66000;Quality Assurance;3;4;Short;Married;Master;4;18,0000;Yes;3,5;0;3;Highly Likely to Churn'
488;New York;11,0000;80500;Marketing;5;4;Medium;Divorced;High School;4;24,0000;Yes;4;4;2;Highly Likely to Churn'
489;Chicago;12,0000;72000;Public Relations;3;4;Medium;Married;Bachelor;3;12,0000;Yes;3;5;2;Highly Likely to Churn'
490;Scranton;6,0000;62000;Facilities Management;2;3;Short;Divorced;Bachelor;3;24,3234;Yes;4;0;1;Highly Likely to Churn'
491;Philadelphia;8,0000;67000;Customer Service;4;4;Long;Married;High School;3;34,6456;Yes;4;2;3;Moderately Likely to Churn
492;Dallas;13,0000;79000;Quality Assurance;3;4;Short;Married;Bachelor;3;24,0000;Yes;4;2;3;Moderately Likely to Churn
493;Chicago;17,5000;78500;Customer Service;3;4;Long;Married;Bachelor;4;34,6456;Yes;4;5;3;Moderately Likely to Churn
494;Denver;7,0000;72500;Sales;3;4;Short;Married;Bachelor;4;12,0000;Yes;3;0;2;Highly Likely to Churn'
495;Seattle;3,0000;65500;Sales;2;3;Medium;Divorced;Bachelor;3;24,0000;Yes;4;0;3;Moderately Likely to Churn
496;Atlanta;3,0000;57500;Facilities Management;5;3;Short;Married;High School;3;63,0000;Yes;4;0;3;Highly Likely to Churn'
497;Seattle;9,0000;67500;Accounting;2;4;Long;Married;Bachelor;4;30,0000;Yes;3;2;2;Highly Likely to Churn'
498;Seattle;9,0000;66500;Operations;4;4;Short;Married;Bachelor;3;24,0000;Yes;3;1;2;Highly Likely to Churn'
499;Chicago;11,0000;77000;Legal;4;4;Medium;Single;High School;3;63,0000;Yes;3;4;2;Highly Likely to Churn'
500;Los Angeles;11,0000;71500;Sales;4;4;Long;Single;High School;4;63,0000;Yes;4;3;3;Moderately Likely to Churn
501;Chicago;3,0000;52500;Procurement;1;4;Long;Single;High School;3;63,0000;Yes;3;0;2;Highly Likely to Churn'
502;Denver;7,0000;70500;Legal;4;3;Short;Married;Master;4;18,0000;Yes;4;1;2;Highly Likely to Churn'
503;Chicago;17,5000;73000;Human Resources;2;4;Medium;Married;Bachelor;4;12,0000;Yes;4;4;3;Moderately Likely to Churn
504;Los Angeles;9,0000;74000;Accounting;4;4;Long;Married;Bachelor;4;12,0000;Yes;4;3;3;Moderately Likely to Churn
505;New York;8,0000;72500;Sales;2;4;Medium;Divorced;Bachelor;5;12,0000;Yes;5;0;3;Moderately Likely to Churn
506;Dallas;4,0000;65000;Sales;3;4;Short;Married;Master;3;24,0000;Yes;3,5;0;3;Moderately Likely to Churn
507;New York;8,0000;62500;Customer Service;3;4;Long;Single;Bachelor;4;12,0000;Yes;4;0;3;Moderately Likely to Churn
508;Scranton;7,0000;67000;Legal;5;4;Short;Single;Bachelor;4;6,0000;Yes;4;1;2;Highly Likely to Churn'
509;San Francisco;8,0000;72000;Sales;4;4;Long;Married;Bachelor;4;36,2506;Yes;4;1;1;Highly Likely to Churn'
510;Los Angeles;6,0000;73500;Product Management;3;4;Long;Single;High School;4;63,0000;Yes;5;0;3;Moderately Likely to Churn
511;Boston;8,0000;74000;Sales;3;2;Short;Single;High School;3;63,0000;Yes;3,5;0;4;Moderately Likely to Churn
512;Boston;6,0000;55000;Operations;5;4;Medium;Married;High School;3;24,0000;Yes;3;0;3;Moderately Likely to Churn
513;Seattle;17,0000;69000;Administration;2;3;Medium;Married;High School;3;34,6456;Yes;3;4;3;Moderately Likely to Churn
514;New York;15,0000;82500;Customer Service;4;4;Medium;Married;Bachelor;4;24,0000;Yes;3;3;2;Highly Likely to Churn'
515;New York;12,0000;74500;Research and Development;3;4;Short;Single;High School;4;48,0000;Yes;4;5;3;Moderately Likely to Churn
516;Dallas;5,0000;69500;Research and Development;3;4;Medium;Married;Master;3;18,0000;Yes;2;0;2;Highly Likely to Churn'
517;Scranton;2,0000;48000;Accounting;1;4;Medium;Married;High School;3;63,0000;Yes;4;0;3;Moderately Likely to Churn
518;Boston;13,0000;66000;Procurement;3;4;Medium;Divorced;Bachelor;3;34,6456;Yes;3;2;2;Highly Likely to Churn'
519;Boston;12,0000;75500;Research and Development;3;4;Medium;Single;Bachelor;3;34,6456;Yes;4;5;3;Moderately Likely to Churn
520;Boston;10,0000;56500;Operations;3;4;Short;Married;Bachelor;4;24,0000;Yes;3;4;2;Highly Likely to Churn'
521;Philadelphia;9,0000;64000;Customer Service;2;4;Medium;Single;High School;4;47,9461;Yes;2;1;2;Highly Likely to Churn'
522;Scranton;3,0000;48500;Customer Service;5;5;Long;Married;Bachelor;4;12,0000;Yes;3;0;2;Highly Likely to Churn'
523;Seattle;6,0000;67500;Operations;3;4;Medium;Single;Bachelor;3;24,0000;Yes;3;0;3;Moderately Likely to Churn
524;Philadelphia;10,0000;67500;Public Relations;2;4;Long;Divorced;High School;4;34,6456;Yes;4;0;3;Moderately Likely to Churn
525;Scranton;14,0000;53500;IT Support;3;4;Medium;Divorced;High School;4;40,0000;Yes;4;5;2;Highly Likely to Churn'
526;Chicago;5,0000;57000;Marketing;5;4;Short;Married;Bachelor;3;30,0000;Yes;3;0;2;Highly Likely to Churn'
527;Philadelphia;1,0000;65500;Accounting;4;3;Medium;Single;Bachelor;3;36,0000;Yes;4;0;3;Moderately Likely to Churn
528;Seattle;9,0000;60500;Public Relations;2;4;Short;Married;Bachelor;4;36,0000;Yes;4;0;3;Moderately Likely to Churn
529;Boston;9,0000;54500;IT Support;1;4;Long;Married;High School;3;63,0000;Yes;4;3;2;Highly Likely to Churn'
530;Chicago;7,0000;69000;Accounting;3;4;Long;Single;Bachelor;2;12,0000;Yes;3;0;1;Highly Likely to Churn'
531;Chicago;9,0000;62500;Legal;4;4;Long;Divorced;Bachelor;5;18,7178;Yes;4;1;3;Moderately Likely to Churn
532;Seattle;8,0000;57500;Sales;4;4;Long;Single;High School;3;56,0000;Yes;3;1;2;Highly Likely to Churn'
533;New York;3,0000;70000;Research and Development;4;4;Long;Married;Bachelor;3;24,0000;Yes;2;0;4;Moderately Likely to Churn
534;New York;5,0000;74000;Sales;3;4;Long;Single;Bachelor;3;6,0000;Yes;4;0;2;Highly Likely to Churn'
535;Dallas;4,0000;66000;Marketing;2;4;Medium;Divorced;Bachelor;4;6,0000;Yes;3;0;2;Highly Likely to Churn'
536;San Francisco;9,0000;61000;Procurement;3;4;Medium;Divorced;Bachelor;4;12,0000;Yes;5;2;3;Moderately Likely to Churn
537;Atlanta;4,0000;71000;Sales;3;3;Short;Single;Master;3;24,3201;Yes;2;0;3;Highly Likely to Churn'
538;Denver;10,0000;66.654,4980443;Marketing;3;4;Long;Single;Bachelor;4;11,7495;Yes;3;2;2;Highly Likely to Churn'
539;New York;11,0000;73000;Sales;4;4;Medium;Married;High School;4;63,0000;Yes;5;1;3;Moderately Likely to Churn
540;Denver;5,0000;54000;Administration;1;2;Short;Married;Bachelor;3;34,6456;Yes;4;0;2;Highly Likely to Churn'
541;Chicago;9,0000;64000;Customer Service;5;4;Short;Married;Bachelor;4;34,6456;Yes;5;1;3;Moderately Likely to Churn
542;New York;5,0000;61000;Quality Assurance;4;3;Short;Divorced;Bachelor;3;24,0000;Yes;3;0;2;Highly Likely to Churn'
543;Boston;16,0000;63500;Quality Assurance;3;4;Short;Married;High School;4;63,0000;Yes;3;2;3;Moderately Likely to Churn
544;Los Angeles;4,0000;64500;Human Resources;1;4;Long;Married;Bachelor;3;34,6456;Yes;3,5;0;3;Moderately Likely to Churn
545;Seattle;5,0000;73000;Accounting;5;4;Medium;Married;Master;3;36,0000;Yes;4;0;2;Highly Likely to Churn'
546;Chicago;5,0000;66000;Quality Assurance;4;4;Long;Married;Bachelor;4;12,0000;Yes;4;0;2;Highly Likely to Churn'
547;Chicago;3,0000;64000;Sales;5;3;Short;Married;Bachelor;3;30,5823;Yes;3;0;4;Moderately Likely to Churn
548;New York;4,0000;67500;IT Support;5;3;Long;Single;Bachelor;3;23,9443;Yes;4;0;2;Highly Likely to Churn'
549;Philadelphia;4,0000;63500;Customer Service;3;4;Medium;Single;Bachelor;4;18,0000;Yes;2;0;2;Highly Likely to Churn'
550;Philadelphia;17,5000;77500;Product Management;2;4;Short;Divorced;Bachelor;4;30,9402;Yes;4;5;1;Highly Likely to Churn'
551;Philadelphia;6,0000;60500;Marketing;4;4;Short;Divorced;Bachelor;3;12,0000;Yes;3;0;1;Highly Likely to Churn'
552;Chicago;3,0000;55000;Legal;4;4;Short;Married;High School;4;32,0000;Yes;3;0;2;Highly Likely to Churn'
553;Chicago;8,0000;65000;Accounting;3;4;Short;Married;High School;3;63,0000;Yes;3;1;3;Highly Likely to Churn'
554;Dallas;2,0000;56000;Quality Assurance;3;4;Medium;Married;Bachelor;4;24,0000;Yes;3;0;3;Moderately Likely to Churn
555;New York;4,0000;63000;IT Support;5;4;Medium;Single;Bachelor;3;34,6456;Yes;4;0;3;Moderately Likely to Churn
556;Atlanta;9,0000;63500;Procurement;4;4;Medium;Married;Master;3;34,6456;Yes;3;0;1;Highly Likely to Churn'
557;New York;10,0000;72500;Quality Assurance;3;4;Medium;Single;High School;3;48,0000;Yes;4;1;2;Highly Likely to Churn'
558;Philadelphia;8,0000;65000;Marketing;4;4;Short;Married;Bachelor;4;12,0000;Yes;3;0;3;Moderately Likely to Churn
559;Seattle;6,0000;75000;Sales;2;3;Long;Married;Bachelor;3;18,0000;Yes;4;0;2;Highly Likely to Churn'
560;Atlanta;3,0000;58000;Accounting;5;4;Long;Married;High School;3;40,0000;Yes;3;0;3;Highly Likely to Churn'
561;Seattle;8,0000;66500;Customer Service;2;4;Short;Divorced;Bachelor;3;34,6456;Yes;3,5;1;4;Moderately Likely to Churn
562;New York;5,0000;66.654,4980443;Product Management;3;4;Medium;Married;Bachelor;4;24,0000;Yes;4;0;4;Moderately Likely to Churn
563;Atlanta;12,0000;81500;Public Relations;2;4;Medium;Married;Bachelor;3;24,0000;Yes;3;1;3;Highly Likely to Churn'
564;Miami;11,0000;59500;Public Relations;1;4;Short;Married;High School;4;32,0000;Yes;4;3;2;Highly Likely to Churn'
565;New York;10,0000;69000;IT Support;4;4;Medium;Divorced;Master;4;34,6456;Yes;4;4;3;Moderately Likely to Churn
566;Chicago;13,0000;67000;IT Support;5;3;Long;Married;Bachelor;4;12,0000;Yes;4;2;2;Highly Likely to Churn'
567;Los Angeles;10,0000;67500;Research and Development;5;4;Medium;Divorced;High School;4;63,0000;Yes;4;2;2;Highly Likely to Churn'
568;Philadelphia;17,5000;88500;Sales;2;4;Long;Single;Bachelor;4;12,0000;Yes;4;5;3;Moderately Likely to Churn
569;Dallas;7,6121;61000;Customer Service;3;3;Long;Married;Bachelor;3;12,0000;Yes;3;0;2;Highly Likely to Churn'
570;Philadelphia;4,0000;57500;Marketing;4;3;Short;Married;High School;3;63,0000;Yes;4;0;2;Highly Likely to Churn'
571;Los Angeles;2,0000;61000;Sales;3;4;Long;Married;Bachelor;4;24,0000;Yes;3;0;2;Highly Likely to Churn'
572;Boston;1,0000;59500;Accounting;2;4;Long;Married;High School;4;63,0000;Yes;3;0;3;Moderately Likely to Churn
573;Atlanta;3,0000;62500;Legal;3;3;Short;Single;Bachelor;3;18,0000;Yes;2;0;2;Highly Likely to Churn'
574;Boston;3,0000;54500;Human Resources;4;4;Medium;Divorced;Bachelor;4;18,0000;Yes;4;0;3;Moderately Likely to Churn
575;Boston;4,0000;70000;Legal;2;4;Long;Single;Bachelor;4;24,0000;Yes;4;0;3;Moderately Likely to Churn
576;Boston;5,0000;64000;Procurement;4;4;Medium;Divorced;Bachelor;3;24,0000;Yes;3,5;0;2;Highly Likely to Churn'
577;Atlanta;17,5000;76500;Public Relations;5;4;Short;Married;High School;4;63,0000;Yes;3;5;3;Highly Likely to Churn'
578;Boston;14,0000;65500;Administration;3;3;Medium;Married;Bachelor;4;18,2120;Yes;4;5;3;Moderately Likely to Churn
579;Philadelphia;11,0000;69500;Procurement;3;4;Short;Married;Bachelor;4;18,0000;Yes;4;4;3;Moderately Likely to Churn
580;Denver;14,0000;57500;Administration;5;4;Medium;Married;High School;4;34,6456;Yes;5;3;3;Highly Likely to Churn'
581;Los Angeles;7,0000;77500;Sales;3;4;Short;Married;Bachelor;4;18,0000;Yes;4;0;3;Moderately Likely to Churn
582;Miami;10,0000;58000;Quality Assurance;2;4;Medium;Married;Bachelor;4;18,0000;Yes;4;0;3;Highly Likely to Churn'
583;Miami;9,0000;72500;Accounting;4;4;Short;Married;Bachelor;4;24,0000;Yes;4;3;2;Highly Likely to Churn'
584;Denver;4,0000;53500;Accounting;5;4;Medium;Single;Bachelor;3;18,0000;Yes;3;0;2;Highly Likely to Churn'
585;Miami;7,0000;53000;Human Resources;4;4;Long;Married;High School;3;34,6456;Yes;3;1;2;Highly Likely to Churn'
586;Boston;3,0000;58000;Research and Development;4;4;Medium;Married;High School;3;63,0000;Yes;2;0;1;Highly Likely to Churn'
587;Boston;9,0000;69000;Public Relations;1;3;Long;Single;Bachelor;3;24,0000;Yes;4;2;4;Moderately Likely to Churn
588;Boston;9,0000;76000;Sales;4;4;Short;Married;Bachelor;4;12,0000;Yes;4;1;2;Highly Likely to Churn'
589;Chicago;8,0000;71500;Sales;3;3;Long;Married;Bachelor;4;12,0000;Yes;5;2;3;Moderately Likely to Churn
590;Philadelphia;12,0000;72500;Procurement;5;4;Short;Single;Bachelor;3;12,0000;Yes;4;3;2;Highly Likely to Churn'
591;Seattle;8,0000;56000;Customer Service;4;4;Long;Divorced;High School;4;48,0000;Yes;3;1;3;Moderately Likely to Churn
592;Los Angeles;4,0000;66000;Marketing;4;4;Short;Married;Master;4;24,0000;Yes;4;0;3;Moderately Likely to Churn
593;Denver;10,0000;72500;Marketing;3;4;Long;Married;Bachelor;4;30,0000;Yes;3,5;2;2;Highly Likely to Churn'
594;Scranton;7,0000;55000;Administration;4;4;Short;Married;Bachelor;4;30,0000;Yes;3,5;1;2;Highly Likely to Churn'
595;Dallas;5,0000;67500;Product Management;3;4;Long;Married;High School;4;63,0000;Yes;3;0;3;Moderately Likely to Churn
596;Scranton;17,5000;82500;Marketing;3;4;Medium;Divorced;Bachelor;3;12,0000;Yes;3;3;3;Moderately Likely to Churn
597;Boston;1,0000;58500;Research and Development;5;4;Short;Single;Bachelor;4;30,0000;Yes;3;0;3;Moderately Likely to Churn
598;Los Angeles;6,0000;73000;Marketing;3;4;Long;Single;Bachelor;3;24,0000;Yes;3;0;2;Highly Likely to Churn'
599;Scranton;10,0000;58500;Operations;4;4;Long;Married;Bachelor;4;30,0000;Yes;3;2;2;Highly Likely to Churn'
600;Scranton;9,0000;50500;Marketing;2;4;Long;Married;High School;3;63,0000;Yes;4;2;3;Moderately Likely to Churn
601;Chicago;6,0000;57500;Customer Service;4;4;Medium;Married;Bachelor;3;34,6456;Yes;4;0;3;Moderately Likely to Churn
602;Boston;10,0000;84000;Facilities Management;4;4;Short;Married;Master;3;12,0000;Yes;3;1;3;Moderately Likely to Churn
603;Chicago;2,0000;53000;Customer Service;4;4;Medium;Divorced;High School;4;56,0000;Yes;3;0;3;Moderately Likely to Churn
604;Scranton;16,0000;78000;Sales;5;4;Short;Divorced;Bachelor;3;12,0000;Yes;3;5;2;Highly Likely to Churn'
605;Boston;12,0000;64000;Operations;3;4;Short;Married;High School;4;48,0000;Yes;3;0;3;Moderately Likely to Churn
606;Scranton;5,0000;50500;Quality Assurance;3;4;Long;Divorced;Bachelor;4;34,6456;Yes;4;0;3;Moderately Likely to Churn
607;New York;7,0000;78000;Accounting;2;4;Medium;Single;Bachelor;4;18,0000;Yes;4;1;3;Moderately Likely to Churn
608;Scranton;6,0000;61500;Marketing;3;4;Medium;Married;High School;4;48,0000;Yes;4;0;4;Moderately Likely to Churn
609;Boston;4,0000;70000;Marketing;2;3;Medium;Married;High School;3;63,0000;Yes;3;0;2;Highly Likely to Churn'
610;Los Angeles;6,0000;70500;Research and Development;3;4;Medium;Divorced;High School;3;40,0000;Yes;3;0;2;Highly Likely to Churn'
611;Boston;10,0000;63500;Operations;3;3;Medium;Married;High School;3;32,0000;Yes;4;2;3;Moderately Likely to Churn
612;Scranton;7,0000;50500;Accounting;4;4;Medium;Married;Bachelor;4;24,0000;Yes;4;1;3;Moderately Likely to Churn
613;Los Angeles;6,0000;77000;Accounting;1;2;Long;Single;Bachelor;3;36,0000;Yes;3;0;2;Highly Likely to Churn'
614;Philadelphia;4,0000;59000;Public Relations;2;4;Long;Single;Bachelor;3;36,0000;Yes;3;0;2;Highly Likely to Churn'
615;Scranton;4,0000;56000;Quality Assurance;3;4;Medium;Divorced;Bachelor;4;18,0000;Yes;4;0;2;Highly Likely to Churn'
616;Los Angeles;2,0000;70000;Sales;5;4;Medium;Divorced;Bachelor;4;34,6456;Yes;4;0;3;Moderately Likely to Churn
617;Boston;1,0000;57500;Customer Service;4;4;Medium;Single;High School;3;63,0000;Yes;4;0;3;Moderately Likely to Churn
618;Boston;12,0000;63500;Facilities Management;3;4;Short;Divorced;High School;4;48,0000;Yes;3,5;3;2;Highly Likely to Churn'
619;Boston;9,0000;86000;Sales;5;4;Medium;Single;Master;3;18,0000;Yes;3;0;2;Highly Likely to Churn'
620;Seattle;11,0000;69500;Marketing;5;4;Short;Divorced;Bachelor;4;12,0000;Yes;4;2;3;Moderately Likely to Churn
621;Atlanta;5,0000;70500;Sales;3;4;Short;Married;Bachelor;4;6,0000;Yes;4;0;3;Highly Likely to Churn'
622;Dallas;10,0000;67500;Facilities Management;2;4;Short;Married;Bachelor;4;6,0000;Yes;3;2;2;Highly Likely to Churn'
623;Miami;9,0000;63000;Administration;4;4;Medium;Married;Bachelor;3;24,0000;Yes;3;0;2;Highly Likely to Churn'
624;Los Angeles;13,0000;69000;Customer Service;4;5;Long;Married;High School;4;63,0000;Yes;4;2;3;Moderately Likely to Churn
625;Boston;10,0000;66500;Operations;3;4;Short;Single;High School;3;34,6456;Yes;3;3;2;Highly Likely to Churn'
626;Scranton;4,0000;57500;Public Relations;5;4;Long;Married;High School;4;63,0000;Yes;4;0;2;Highly Likely to Churn'
627;Boston;9,0000;70500;Procurement;2;4;Long;Married;Bachelor;4;30,0000;Yes;3;3;2;Highly Likely to Churn'
628;Miami;11,0000;66.654,4980443;Legal;3;3;Medium;Single;High School;3;63,0000;Yes;3;2;2;Highly Likely to Churn'
629;New York;3,0000;64000;Legal;4;4;Long;Single;Bachelor;3;23,3191;Yes;4;0;3;Moderately Likely to Churn
630;Miami;5,0000;66500;Product Management;5;4;Short;Married;Bachelor;3;12,0000;Yes;4;0;3;Highly Likely to Churn'
631;Boston;5,0000;59500;Accounting;4;4;Long;Married;High School;4;40,0000;Yes;4;0;2;Highly Likely to Churn'
632;San Francisco;7,0000;73000;Product Management;5;4;Long;Divorced;Bachelor;4;12,0000;Yes;4;1;3;Moderately Likely to Churn
633;San Francisco;8,0000;67500;Marketing;4;4;Medium;Divorced;High School;4;32,0000;Yes;4;1;2;Highly Likely to Churn'
634;Denver;10,0000;72500;Sales;2;4;Medium;Married;Bachelor;4;30,0000;Yes;4;2;3;Highly Likely to Churn'
635;New York;4,0000;63000;Marketing;5;4;Medium;Divorced;Bachelor;4;24,0000;Yes;4;0;4;Moderately Likely to Churn
636;Los Angeles;1,0000;68500;Sales;4;4;Medium;Divorced;High School;3;40,0000;Yes;4;0;3;Moderately Likely to Churn
